 Mohindra (Con)
David Crausby (Lab)
David Davis (Con)
David Drew (Lab)
David Duguid (Con)
David Evennett (Con)
David Gauke (Con)
David Gauke (Ind)
David Hanson (Lab)
David Johnston (Con)
David Jones (Con)
David Lammy (Lab)
David Lidington (Con)
David Linden (Snp)
David Mackintosh (Con)
David Morris (Con)
David Mowat (Con)
David Mundell (Con)
David Nuttall (Con)
David Rutley (Con)
David Simmonds (Con)
David Simpson (Dup)
David T C Davies (Con)
David T. C. Davies (Con)
David Tredinnick (Con)
David Warburton (Con)
David Warburton (Ind)
David Winnick (Lab)
Dawn Butler (Lab)
Dean Russell (Con)
Debbie Abrahams (Lab)
Dehenna Davison (Con)
Deidre Brock (Snp)
Dennis Skinner (Lab)
Derek Thomas (Con)
Derek Twigg (Lab)
Desmond Swayne (Con)
Diana Johnson (Lab)
Diane Abbott (Ind)
Diane Abbott (Lab)
Dominic Grieve (Con)
Dominic Grieve (Ind)
Dominic Raab (Con)
Douglas Carswell (Ukip)
Douglas Chapman (Snp)
Douglas Ross (Con)
Dr Poulter (Con)
Drew Hendry (Snp)
Duncan Baker (Con)
Ed Davey (Ld)
Eddie Hughes (Con)
Edward Argar (Con)
Edward Davey (Ld)
Edward Garnier (Con)
Edward Leigh (Con)
Edward Miliband (Lab)
Edward Timpson (Con)
Edward Vaizey (Con)
Edward Vaizey (Ind)
Eilidh Whiteford (Snp)
Eleanor Laing (Con)
Eleanor Smith (Lab)
Elizabeth Truss (Con)
Ellie Reeves (Lab)
Elliot Colburn (Con)
Emily Thornberry (Lab)
Emma Dent Coad (Lab)
Emma Hardy (Lab)
Emma Lewell-Buck (Lab)
Emma Little Pengelly (Dup)
Emma Reynolds (Lab)
Eric Pickles (Con)
Esther Mcvey (Con)
Fabian Hamilton (Lab)
Faisal Rashid (Lab)
Fay Jones (Con)
Felicity Buchan (Con)
Feryal Clark (Lab)
Fiona Bruce (Con)
Fiona Mactaggart (Lab)
Fiona Onasanya (Ind)
Fiona Onasanya (Lab)
Fleur Anderson (Lab)
Flick Drummond (Con)
Florence Eshalomi (Lab)
Frank Field (Ind)
Frank Field (Lab)
Gagan Mohindra (Con)
Gareth Bacon (Con)
Gareth Davies (Con)
Gareth Johnson (Con)
Gareth Snell (Lab)
Gareth Thomas (Lab)
Gary Sambrook (Con)
Gary Streeter (Con)
Gavin Barwell (Con)
Gavin Newlands (Snp)
Gavin Robinson (Dup)
Gavin Shuker (Ind)
Gavin Shuker (Lab)
Gavin Williamson (Con)
Ged Killen (Lab)
Gen Kitchen (Lab)
Geoffrey Clifton-Brown (Con)
Geoffrey Cox (Con)
Geoffrey Robinson (Lab)
George Eustice (Con)
George Freeman (Con)
George Galloway (Wpb)
George Hollingbery (Con)
George Howarth (Lab)
George Kerevan (Snp)
George Osborne (Con)
Geraint Davies (Ind)
Geraint Davies (Lab)
Gerald Howarth (Con)
Gerald Jones (Lab)
Gerald Kaufman (Lab)
Gerard Killen (Lab)
Giles Watling (Con)
Gill Furniss (Lab)
Gillian Keegan (Con)
Gisela Stuart (Lab)
Gloria De Piero (Lab)
Glyn Davies (Con)
Gordon Henderson (Con)
Gordon Marsden (Lab)
Graham Allen (Lab)
Graham Brady (Con)
Graham Evans (Con)
Graham Jones (Lab)
Graham P Jones (Lab)
Graham Stringer (Lab)
Graham Stuart (Con)
Grahame Morris (Lab)
Grant Shapps (Con)
Greg Clark (Con)
Greg Clark (Ind)
Greg Hands (Con)
Greg Knight (Con)
Greg Mulholland (Ld)
Greg Smith (Con)
Gregory Campbell (Dup)
Guto Bebb (Con)
Guto Bebb (Ind)
Guy Opperman (Con)
Hannah Bardell (Snp)
Harriet Harman (Lab)
Harriett Baldwin (Con)
Heather Wheeler (Con)
Heidi Alexander (Lab)
Heidi Allen (Con)
Heidi Allen (Ind)
Heidi Allen (Ld)
Helen Goodman (Lab)
Helen Grant (Con)
Helen Hayes (Lab)
Helen Jones (Lab)
Helen Morgan (Ld)
Helen Whately (Con)
Henry Bellingham (Con)
Henry Smith (Con)
Hilary Benn (Lab)
Holly Lynch (Lab)
Holly Mumby-Croft (Con)
Hugh Gaffney (Lab)
Hugo Swire (Con)
Huw Irranca-Davies (Lab)
Huw Merriman (Con)
Hywel Williams (Pc)
Iain Duncan Smith (Con)
Iain Stewart (Con)
Iain Wright (Lab)
Ian Austin (Ind)
Ian Austin (Lab)
Ian Blackford (Snp)
Ian Byrne (Lab)
Ian C. Lucas (Lab)
Ian Lavery (Lab)
Ian Levy (Con)
Ian Liddell-Grainger (Con)
Ian Mearns (Lab)
Ian Murray (Lab)
Ian Paisley (Dup)
Imran Ahmad Khan (Con)
Imran Ahmad Khan (Ind)
Imran Hussain (Lab)
Ivan Lewis (Ind)
Ivan Lewis (Lab)
Jack Brereton (Con)
Jack Dromey (Lab)
Jack Lopresti (Con)
Jackie Doyle-Price (Con)
Jacob Rees-Mogg (Con)
Jacob Young (Con)
Jake Berry (Con)
James Berry (Con)
James Brokenshire (Con)
James Cartlidge (Con)
James Cleverly (Con)
James Daly (Con)
James Davies (Con)
James Duddridge (Con)
James Frith (Lab)
James Gray (Con)
James Grundy (Con)
James Heappey (Con)
James Morris (Con)
James Murray (Lab)
James Sunderland (Con)
James Wharton (Con)
James Wild (Con)
Jamie Reed (Lab)
Jamie Stone (Ld)
Jamie Wallis (Con)
Jane Dodds (Ld)
Jane Ellison (Con)
Jane Hunt (Con)
Jane Stevenson (Con)
Janet Daby (Lab)
Jared O'Mara (Ind)
Jared O'Mara (Lab)
Jason Mccartney (Con)
Jeff Smith (Lab)
Jeffrey M Donaldson (Dup)
